ID,Nombre del Proyecto o Estudio,Descripción,Esfuerzos relacionados en:,Tema del ecosistema digital,Objetivo,LAR,Unidad Responsable,Horizonte de tiempo,Nivel de coordinación
1,Guía con acciones prioritarias para la atención de situaciones de emergencia (v.gr. Desastres naturales o pandemias),"Motivado por la necesidad de contar con protocolos de emergencia en materias como: Coordinación para mantener la continuidad de los servicios entre los operadores de telecomunicaciones y radiodifusión, generación de información estadística oportuna, asignación de espectro temporal, y casos de éxito documentados en los elementos de este rubro.","UIT
Estados Unidos
Banco Mundial",Infraestructura digital,Objetivo Transversal (Fortalecimiento Institucional),T.1.7 Diseñar e implementar agendas y planes de acción que aseguren de forma permanente la continuidad de los servicios de telecomunicaciones y radiodifusión ,"UPR
UMCA
UER",CP,"A (Operadores, SEGOB, etc.)"
2,Diagnóstico para evaluar la factibilidad de generar un mecanismo de asignación de espectro temporal en casos específicos,"En la práctica internacional se observa una tendencia regulatoria para proporcionar facilidades a través de un mecanismo de asignación temporal de espectro a los operadores de telecomunicaciones para mitigar necesidades urgentes de conectividad (como serían los casos expuestos en los elementos de este proyecto para Perú, Estados Unidos y Ecuador).","Perú
Estados Unidos
Ecuador",Infraestructura digital,Objetivo 1 (Infraestructura Digital),"LAR 1.3.5: Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias y modelos innovadores de gestión del espectro radioeléctrico.","UER
CGVI",MP,"A (SICT, SHCP, Congreso)"
3,Creación de un Grupo de Trabajo sobre Conectividad para proponer soluciones específicas que atiendan las necesidades de servicios de telecomunicaciones a nivel local,Este grupo sería el encargado de proponer soluciones innovadoras que impliquen esfuerzos de política pública o regulatoria para regiones específicas del país (algunos ejemplos del tipo de soluciones que podría considerar el Grupo y ver su factibilidad para México están en los elementos adjuntos).,"Colombia
Perú
Estados Unidos
Reino Unido
Ecuador",Infraestructura digital,Objetivo 1 (Infraestructura Digital),LAR 1.4.1 Colaborar con las instituciones correspondientes en el diseño de los mecanismos idóneos para cerrar la brecha de acceso universal y contribuir al logro de los objetivos de la política de inclusión universal y cobertura universal  establecidos,"UPR
UER
CGVI
CES",CP,"A (SICT, EDN, CFE)"
4,Convenio de trabajo con el Banco Interamericano de Desarrollo, Es importante retomar las actividades con el BID ya que vemos que muchos países latinoamericanos lo están haciendo principalmente para proyectos de conectividad.,Banco Interamericano de Desarrollo,Regulación colaborativa,Objetivo Transversal (Fortalecimiento Institucional),"LAR T.3.1 Aprovechar los canales de comunicación con autoridades y organismos nacionales e internacionales, con el fin de colaborar en los programas y acciones emitidos por estas instituciones, así como en el desarrollo global de un entorno habilitador del ecosistema digital de acuerdo con las atribuciones del Instituto",CGAI,CP,M (Dependerá del tipo de proyecto)
5,Iniciativas de apoyo para atracción de inversión,Consiste en describir diferentes iniciativas que se están haciendo en otros países para atraer inversión en el sector; esto puede ayudar a identificar empresas que la CEJE pudiera invitar al foro que está organizando.,"Brasil
Panamá
Chile",Regulación colaborativa,Objetivo 1 (Infraestructura Digital),"LAR 1.1.2: Propiciar un marco regulatorio que fomente el desarrollo de planes de inversión conjunta
entre los concesionarios de servicios de TyR y otras entidades relevantes para la instalación y despliegue de nuevas redes e infraestructura de TyR","CEJE
CES",CP,M (Iniciativa privada)
6,Política de igualdad de género,"El objetivo de avanzar en la remoción de barreras que impidan la participación y el desarrollo de niñas y mujeres en la ciencia, tecnología, conocimiento e innovación, incrementar la participación femenina en el mundo laboral de la investigación y desarrollo, construir un sistema científico-académico y tecnológico con igualdad de oportunidades y sin violencia de género, cerrar la brecha de género en el acceso a la tecnología y competencias digitales y erradicar la violencia de género y discriminación online.","Chile
UIT",Protección de las Audiencias y Usuarios,Objetivo Transversal (Fortalecimiento Institucional),"LAR T.1.4 Establecer acciones específicas para la capacitación y desarrollo del talento interno para contar con personal altamente especializado, considerando un enfoque de género e inclusión",UADMIN,CP,"M (Instituciones académicas, CONAPRED, etc.)"
7,Estudio para el desarrollo de proyectos blockchain por parte de entidades públicas,"El objetivo es identificar los casos de uso de blockchain en el desempeño de las tareas públicas, incluidas áreas como salud, encuestas, educación, identidad digital, etc., haciendo que los servicios se vuelvan más transparentes y confiables.",Colombia,Protección de las audiencias y usuarios,Objetivo 3 (Desarrollo del Ecosistema Digital),LAR 3.2.2 Comunicar las ventajas y fomentar la adopción de las nuevas tecnologías y casos de uso en la sociedad y en los sectores productivos.,"CES
CGVI",MP,A (Diferentes instancias del gobierno federal)
8,Diagóstico que elabore un plan para mejorar la seguridad cibernética en las redes de telecomunicaciones del gobierno federal,"El objetivo es generar una disposición regulatoria para mejorar la seguridad cibernética en las redes del gobierno federal, pero que no resultan vinculantes para el sector privado. se puede vender como un proyecto conjunto entre IFT y SEGOB en el marco del Convenio de colaboración que actualmente existe…sería la primer orden regulatoria emitida en México sobre el tema.","Estados Unidos
Italia",Ciberseguridad,Objetivo 3 (Desarrollo del Ecosistema Digital),"LAR 3.1.1 Desarrollar y difundir recomendaciones, lineamientos, disposiciones técnicas y/o
buenas prácticas en  materia de ciberseguridad","UPR
CGVI",MP,A (Diferentes instancias del gobierno federal)
9,Estudio para bandas arriba de 100 GHz,"El objetivo es analizar este tipo de bandas para ver la disponibilidad y posibles casos de uso de estas frecuencias, mismas que empiezan a ser analizadas para servicios de 6G. Puede ser una actualización del estudio Panorama de la UER.",Alemania,Industria 4.0,Objetivo 1 (Infraestructura Digital),"LAR 1.3.1 Promover la disponibilidad de espectro radioeléctrico para la provisión de diferentes servicios
y aplicaciones de radiocomunicaciones","UER
CES",CP,B
10,Estudio para evaluar el desarrollo y los diferentes casos de uso de la Inteligencia Artificial en México,El objetivo es hacer el estudio para posteriormente construir la visión regulatoria del IFT.,Brasil,Industria 4.0,Objetivo 3 (Desarrollo del Ecosistema Digital),"LAR 3.2.3 Favorecer el desarrollo regulatorio, en los sectores productivos y en la sociedad, de casos de uso y modelos de negocio asociados a las nuevas tecnologías que se
encuentren relacionadas de manera directa con los sectores de TyR","CES
UPR
UER",MP,B
11,Implementación de un sandbox regulatorio en México,"Se podría iniciar con una consulta pública sobre los casos de uso, formato de diseño, mecanismo del sanbox, oferta de espectro, etc. Revisar alcances con el Comité técnico de 5G.",Colombia,Industria 4.0,Objetivo 1 (Infraestructura Digital),"LAR 1.3.3: Evaluar medidas que optimicen la puesta a disposición de espectro radioeléctrico para usos innovadores, experimentales y/o de carácter social","UPR
UER",CP,B
12,Estudio de mercado sobre el ecosistema móvil en México," Los ecosistemas móviles pueden comprenden teléfonos inteligentes y tabletas, así como software asociado, incluidas puertas de enlace clave, como sistemas operativos, tiendas de aplicaciones y navegadores web. Tanto Apple como Google controlan las puertas de enlace clave dentro de sus respectivos ecosistemas, incluidos sus sistemas operativos (iOS y Android), tiendas de aplicaciones (App Store y Play Store) y navegadores web (Safari y Chrome). Hacer un estudio sobre los riesgos competitivos parece conveniente. Puede ser una extensión del etudio con ID 7 del PAT 2022.",Reino Unido,Competencia en el ecosistema digital,Objetivo 2 (Competencia Económica),"LAR 2.1.1  Monitorear y estudiar las implicaciones desde un punto de vista de competencia económica de los nuevos modelos de negocio del ecosistema digital, considerando los mercados digitales en los que el Instituto sea la autoridad competente para resolver",UCE,MP,B
13,Encuesta dirigida a proveedores de equipos y operadores de telecomunicaciones sobre sus planes de despliegue de la tecnología inalámbrica 5G,"Con la encuesta se espera tener información oportuna sobre los planes de despliegue en México, retos y oportunidades.",OMDIA (Internacional),Industria 4.0,Objetivo 1 (Infraestructura Digital),"LAR 1.3.5: Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias",CGPE,CP,B
14,"Diagnóstico para determinar si se deberían adoptar nuevas reglas para regular los servicios de video bajo demanda (VOD), buscando proporcionar el mismo nivel de protección a las audiencias que ven televisión tradicional","Revisar factibilidad de este proyecto, derivado de las atribuciones ganadas a partir de la controversia constitucional en contenidos radiodifundidos.",Reino Unido,Protección de las Audiencias y Usuarios,Objetivo 3 (Desarrollo del Ecosistema Digital),"LAR 3.2.1 Realizar un monitoreo y análisis tecnológico continuo para identificar de forma anticipada tecnologías y/o casos de uso emergentes, así como evaluar el rol que puede tomar el Instituto en el fomento de su adopción",UMCA,LP,M (CIRT y asociaciones de industria de las OTTs)
15,Guía sobre la seguridad y los beneficios de la 5G,El objetivo es que los ayuntamientos puedan informar a las personas sobre ellos y manejar la desinformación con respecto a la nueva tecnología móvil. Se trata de un documento con carácter de informativo.,Reino Unido,Alfabetización Digital,Objetivo 3 (Desarrollo del Ecosistema Digital),"LAR 3.1.4: Colaborar con los organismos nacionales relevantes en la promoción de la alfabetización digital y fomentar la confianza de los usuarios acerca de los servicios y dispositivos disponibles en el ecosistema digital, así como en el uso responsable y seguro de los mismos.","UER
UPR",CP,A (Tres niveles de gobierno)
16,Estudio para emitir el marco regulatorio de los mercados digitales en México,El objetivo es identificar los escenarios jurídicos y regulatorios necesarios para definir el alcance y rol de actuación del IFT en los mercados digitales.,"Reino Unido
Francia
Alemania
Holanda",Competencia en el ecosistema digital,Objetivo 4 (Fortalecer derechos de usuarios y audiencias),"LAR 4.3.3 Analizar la posible emisión de disposiciones y proyectos regulatorios acorde con las nuevas formas de transmisión y consumo de estos tipos de contenidos, tomando en cuenta la evolución y convergencia tecnológica","CES
UCE",CP,M (COFECE)
17,Establecer indicadores clave de rendimiento (KPI) para los objetivos digitales,"Definir KPIs tomando en cuenta los principales servicios de telecomunicaciones y radiodifusión, así como las principales líneas regulatorias de la Hoja de Ruta del IFT (el horizonte de tiempo puede ser 2025).",Reino Unido,Innovación institucional,Objetivo Transversal (Fortalecimiento Institucional),"LAR T.1.6  Revisar las regulaciones, marco normativo y otras disposiciones existentes para que respondan a la evolución tecnológica y del ecosistema digital de acuerdo a las mejores prácticas internacionales con un enfoque ágil y flexible (soft law), y basadas en los principios generales de buena regulación",CGPE,MP,B
18,Elaborar un código de conducta sobre la calidad del servicio de Internet,El regulador francés  anunció una nueva obligación para los Proveedores del Servicio de Internet a efectos de instalar directamente una interfaz de programación de aplicaciones (API) en los módems de los usuarios para mejorar las mediciones de calidad de servicio para banda ancha fija.  ,Francia,Protección de las audiencias y usuarios,Objetivo 4 (Fortalecer derechos de usuarios y audiencias),LAR 4.1.3 Fomentar el acceso a la información por parte de usuarios acerca de las condiciones y niveles de calidad en la prestación de los servicios de TyR,UPR,MP,M (Industria)
19,Consulta pública sobre el tema de white spaces,"Se ha trabajado en las siguientes instancias:

https://www.cullen-international.com/navigator/DMA/DMA_2020_842/article_005

https://www.cullen-international.com/navigator/DMA/DMA_2020_842/article_006 

https://centrodeestudios.ift.org.mx/admin/files/articulos/1626567782.pdf

https://www.ift.org.mx/sites/default/files/contenidogeneral/espectro-radioelectrico/tecnologiasdeaccesodinamicoyusocompartidodelespectro_0.p

Se sugiere una consulta pública antes de generar una regulación específica.",Brasil,Infraestructura Digital,Objetivo 1 (Infraestructura Digital),"LAR 1.3.5 Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias y modelos innovadores de gestión del espectro radioeléctrico","UER
CES",CP,B
20,Propuesta regulatoria que defina la restricción de la operación en las redes de telecomunicaciones móviles de los equipos terminales móviles reportados como hurtados o extraviados,"Para este caso en particular, se sugiere evaluar el costo regulatorio derivado de la posible disposición que se genere.",Colombia,Protección de las audiencias y usuarios,Objetivo Transversal (Fortalecimiento Institucional),"LAR T.3.3  Compartir experiencias con organismos nacionales e internacionales, así como con los diferentes actores de la industria de telecomunicaciones y radiodifusión, de acuerdo al ámbito de las atribuciones del Instituto","CGPU
CGVI",MP,M (Industria e instancias del gobierno federal)
21,Estudio para diagnosticar la factibilidad del estándar ATSC 3.0 en México,"ATSC 3.0 es el nuevo estándar de transmisión digital que permite a las estaciones de televisión transportar más información en el mismo ancho de banda, por ejemplo, más canales o canales en una definición más alta, transmitir datos adicionales para la prestación de servicios interactivos y hacer que la programación sea accesible en dispositivos móviles y otros dispositivos conectados.  ",Estados Unidos ,Industria 4.0,Objetivo 3 (Desarrollo del Ecosistema Digital),"LAR 3.2.1 Realizar un monitoreo y análisis tecnológico continuo para identificar de forma anticipada tecnologías y/o casos de uso emergentes, así como evaluar el rol que puede tomar el Instituto en el fomento de su adopción","UER
UMCA
UPR",CP,B
22,Declaración de principios digitales del Instituto Federal de Telecomunicaciones, Este proyecto refleja las prioridades de los objetivos de política existentes y la regulación digital. Cuidar sinergias con la publicación reciente de la Carta de Derechos Mínimos de los Usuarios de los Servicios Públicos de Telecomunicaciones.,BEREC ,Protección a las audiencias y usuarios,Objetivo 4 (Fortalecer derechos de usuarios y audiencias),LAR 4.1.3 Fomentar el acceso a la información por parte de usuarios acerca de las condiciones y niveles de calidad en la prestación de los servicios de TyR,"CGPU
CGVI",MP,B
23,Grupo de trabajo para prevenir la discriminación digital,"El grupo de trabajo tiene como objetivo disminuir la discriminación digital sobre todo en temas de ingreso, étnia y diversos aspectos demográficos. Tomar en cuenta los resultados que se deriven del Reporte de cobertura del servicio móvil en los pueblos indígenas a cargo de la CGPU.",Estados Unidos,Protección a las audiencias y usuarios,Objetivo 3 (Desarrollo del Ecosistema Digital),"LAR 3.1.4 Colaborar con los organismos nacionales relevantes en la promoción de la alfabetización digital y fomentar la confianza de los usuarios acerca de los servicios y dispositivos disponibles en
el ecosistema digital, así como en el uso responsable y seguro de los mismos","CGPU
CGVI",MP,A (Industria e instancias del gobierno federal)
